0.4401869135407822 0.39664862519930744 0.06707685690173891 0.015428929410820772 0.08065867494735074	-1594.228597609886
0.4401869135407822 0.39664862519930744 0.06707685690173891 0.015428929410820772 0.08065867494735074	-1594.228597609886
0.07163917955807114 0.39664862519930744 0.06707685690173891 0.3839766633935318 0.08065867494735074	-1454.3505793495378
0.07163917955807114 0.426476068475401 0.03724941362564539 0.3839766633935318 0.08065867494735074	-1505.9203230061587
0.07163917955807114 0.16121912553400602 0.03724941362564539 0.3839766633935318 0.3459156178887457	-1603.1995016203016
0.07163917955807114 0.4963585608066364 0.03724941362564539 0.3839766633935318 0.010776182616115348	-1490.7460913582552
0.07163917955807114 0.4963585608066364 0.03724941362564539 0.3839766633935318 0.010776182616115348	-1490.7460913582552
0.07163917955807114 0.0905921795529201 0.44301579487936166 0.3839766633935318 0.010776182616115348	-1413.2422372410376
0.07163917955807114 0.09697294264265857 0.44301579487936166 0.3839766633935318 0.004395419526376873	-1406.4358265569608
0.09804828014113355 0.07056384205959616 0.44301579487936166 0.3839766633935318 0.004395419526376873	-1406.8454515140238
0.09804828014113355 0.07056384205959616 0.8045959818653947 0.02239647640749881 0.004395419526376873	-1631.339780843225
0.09804828014113355 0.2332870936859564 0.6418727302390345 0.02239647640749881 0.004395419526376873	-1534.3596033802007
0.09804828014113355 0.45821902471970777 0.41694079920528304 0.02239647640749881 0.004395419526376873	-1509.9964402053365
0.49238810034174135 0.45821902471970777 0.022600979004675226 0.02239647640749881 0.004395419526376873	-1640.1108205798976
0.49238810034174135 0.45821902471970777 0.021336268233662723 0.023661187178511314 0.004395419526376873	-1640.3760680600662
0.49238810034174135 0.45821902471970777 0.0074495955657574945 0.023661187178511314 0.0182820921942821	-1745.6009294840396
0.006424612454636991 0.45821902471970777 0.0074495955657574945 0.023661187178511314 0.5042455800813864	-2179.514021159147
0.006424612454636991 0.45821902471970777 0.014359691080296024 0.016751091663972786 0.5042455800813864	-2148.4247508941526
0.42955370035392754 0.03508993682041722 0.014359691080296024 0.016751091663972786 0.5042455800813864	-1985.1069956645854
0.42955370035392754 0.03508993682041722 0.014359691080296024 0.006903936709350156 0.514092735036009	-2073.7441600266216
0.42955370035392754 0.0392207997801936 0.01022882812051965 0.006903936709350156 0.514092735036009	-2096.5363807343115
0.42955370035392754 0.0392207997801936 0.007942007761016091 0.006903936709350156 0.5163795553955126	-2121.8407717600653
0.0048257565946360215 0.0392207997801936 0.007942007761016091 0.006903936709350156 0.9411074991548041	-2570.7186951460594
0.004200881880007117 0.0392207997801936 0.007942007761016091 0.006903936709350156 0.941732373869433	-2584.586000645836
0.003877475028955528 0.0392207997801936 0.007942007761016091 0.007227343560401745 0.941732373869433	-2588.019054194623
0.0038845473882878796 0.0392207997801936 0.007942007761016091 0.007220271201069393 0.941732373869433	-2587.934727829678
0.0038845473882878796 0.022389471841278267 0.024773335699931422 0.007220271201069393 0.941732373869433	-2530.2361858274467
0.0038845473882878796 0.022389471841278267 0.0011536299997606074 0.03083997690124021 0.941732373869433	-2691.7296982057705
0.0048907753319447555 0.022389471841278267 0.00014740205610373172 0.03083997690124021 0.941732373869433	-2874.445745394251
0.0048907753319447555 0.006120073771827047 0.00014740205610373172 0.03083997690124021 0.9580017719388843	-3004.147414455806
0.0048907753319447555 0.006159832816421655 0.00010764301150912383 0.03083997690124021 0.9580017719388843	-3034.9342283975466
0.00357074616160749 0.006159832816421655 0.0014276721818463893 0.03083997690124021 0.9580017719388843	-2807.8938297735376
0.03284631466181191 0.006159832816421655 0.0014276721818463893 0.0015644084010357842 0.9580017719388843	-2884.117739444931
0.03284631466181191 0.006159832816421655 0.00251190946347613 0.0004801711194060436 0.9580017719388843	-2945.7299934998587
0.03284631466181191 0.0042213359987805475 0.004450406281117238 0.0004801711194060436 0.9580017719388843	-2926.3245721859466
0.03284631466181191 0.0042213359987805475 0.0032567877968414944 0.0016737896036817866 0.9580017719388843	-2832.6796722537556
0.03284631466181191 0.0042213359987805475 0.0032567877968414944 0.22553923283808167 0.7341363287044844	-2342.3392876574635
0.004140196518031641 0.0042213359987805475 0.03196290594062177 0.22553923283808167 0.7341363287044844	-2321.065450367948
0.041335593558839936 0.0042213359987805475 0.03196290594062177 0.18834383579727337 0.7341363287044844	-2108.989871933123
0.041335593558839936 0.002425267936804113 0.03196290594062177 0.18834383579727337 0.7359323967664608	-2164.410837697499
0.041335593558839936 0.031092969287830764 0.0032952045895951153 0.18834383579727337 0.7359323967664608	-2136.5176443065548
0.041335593558839936 0.031092969287830764 0.6957621452969187 0.18834383579727337 0.04346545605913721	-1601.2636843353487
0.041335593558839936 0.04956447068120569 0.6957621452969187 0.18834383579727337 0.024993954665762288	-1554.6344308923894
